epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6045,0.78738,0.63844,0.01196,0.8952,0.86155,0.90825,0.73743,0.76508,0.57436,0.01658,0.000284688,0.000284688,0.000284688
57,6156.27,0.78583,0.6177,0.01201,0.89596,0.87092,0.91273,0.74432,0.74821,0.56474,0.01615,0.0002785,0.0002785,0.0002785
58,6265.81,0.77147,0.60909,0.01152,0.88559,0.86507,0.90974,0.74175,0.74369,0.56434,0.01619,0.000272313,0.000272313,0.000272313
59,6375.63,0.76186,0.61493,0.01168,0.89606,0.86827,0.91063,0.74699,0.74213,0.58019,0.01599,0.000266125,0.000266125,0.000266125
60,6486.75,0.76207,0.61055,0.01152,0.89763,0.86149,0.90899,0.74207,0.76124,0.59716,0.01686,0.000259938,0.000259938,0.000259938
61,6600.17,0.75751,0.58891,0.01142,0.89291,0.86887,0.90812,0.74956,0.73356,0.56453,0.01578,0.00025375,0.00025375,0.00025375
62,6713.96,0.77553,0.61984,0.01171,0.89408,0.86352,0.90824,0.74451,0.74656,0.5607,0.01612,0.000247563,0.000247563,0.000247563
63,6826.53,0.76582,0.59494,0.0116,0.90714,0.84501,0.90801,0.75057,0.73682,0.5685,0.01571,0.000241375,0.000241375,0.000241375
64,6938.96,0.75476,0.57229,0.01133,0.88853,0.8757,0.91433,0.75333,0.74141,0.55515,0.01599,0.000235188,0.000235188,0.000235188
65,7051,0.75608,0.58695,0.01135,0.9084,0.85907,0.91212,0.75307,0.73486,0.56955,0.01578,0.000229,0.000229,0.000229
66,7162.74,0.73349,0.562,0.01085,0.91013,0.85145,0.90982,0.75034,0.72992,0.59896,0.01576,0.000222813,0.000222813,0.000222813
67,7275.23,0.7458,0.55489,0.01118,0.9168,0.85879,0.91222,0.7574,0.73092,0.56868,0.01578,0.000216625,0.000216625,0.000216625
68,7389.3,0.74373,0.56721,0.01107,0.88826,0.87019,0.90634,0.75471,0.72591,0.58801,0.01552,0.000210437,0.000210437,0.000210437
69,7501.79,0.74956,0.55303,0.01123,0.90532,0.86974,0.91388,0.75613,0.72332,0.58116,0.01547,0.00020425,0.00020425,0.00020425
70,7614.43,0.74257,0.55818,0.01122,0.90969,0.85533,0.91038,0.75006,0.7322,0.58332,0.01607,0.000198063,0.000198063,0.000198063
71,7727.06,0.72688,0.53981,0.01092,0.91197,0.85845,0.91032,0.75631,0.72482,0.57145,0.01548,0.000191875,0.000191875,0.000191875
72,7839.23,0.74113,0.56478,0.01099,0.9216,0.84397,0.90925,0.75271,0.71625,0.59006,0.0153,0.000185688,0.000185688,0.000185688
73,7951.03,0.72786,0.53825,0.01085,0.89631,0.86404,0.91083,0.75797,0.71328,0.57833,0.01514,0.0001795,0.0001795,0.0001795
74,8062.85,0.72394,0.5449,0.01107,0.90695,0.85714,0.9108,0.75368,0.72715,0.56642,0.01562,0.000173313,0.000173313,0.000173313
75,8174.47,0.72952,0.52728,0.01086,0.90963,0.86972,0.91383,0.75647,0.71986,0.54885,0.01542,0.000167125,0.000167125,0.000167125
76,8284.46,0.71817,0.53642,0.01068,0.90533,0.8751,0.9151,0.76133,0.71337,0.555,0.01515,0.000160938,0.000160938,0.000160938
77,8395.58,0.72313,0.55034,0.01066,0.91173,0.84839,0.91007,0.75725,0.71662,0.5805,0.01539,0.00015475,0.00015475,0.00015475
78,8508.25,0.72718,0.51845,0.01075,0.89545,0.88079,0.91376,0.7618,0.71563,0.56217,0.01521,0.000148563,0.000148563,0.000148563
79,8627.12,0.71822,0.51781,0.01067,0.90793,0.86755,0.91219,0.75983,0.71628,0.56583,0.01529,0.000142375,0.000142375,0.000142375
80,8740.96,0.71497,0.51759,0.01066,0.8902,0.88014,0.91176,0.76123,0.718,0.56749,0.01538,0.000136187,0.000136187,0.000136187
81,8853.82,0.71308,0.52731,0.01044,0.90545,0.86185,0.91326,0.76445,0.70914,0.56508,0.01506,0.00013,0.00013,0.00013
82,8966.53,0.71159,0.51927,0.01078,0.90725,0.86265,0.91249,0.76241,0.71785,0.55897,0.01534,0.000123812,0.000123812,0.000123812
83,9077.86,0.71662,0.51991,0.01073,0.9134,0.86764,0.9133,0.76288,0.71687,0.558,0.01535,0.000117625,0.000117625,0.000117625
84,9189.48,0.70907,0.51964,0.01041,0.912,0.86472,0.91075,0.75943,0.72064,0.56064,0.01553,0.000111438,0.000111438,0.000111438
85,9300.63,0.70986,0.51173,0.01056,0.90126,0.87802,0.91079,0.76037,0.71403,0.55724,0.01538,0.00010525,0.00010525,0.00010525
86,9412.58,0.68806,0.51272,0.01034,0.91567,0.86427,0.91237,0.7632,0.71455,0.56162,0.01535,9.90625e-05,9.90625e-05,9.90625e-05
87,9525.77,0.70009,0.5071,0.01038,0.9086,0.86346,0.91253,0.76683,0.70254,0.55624,0.01491,9.2875e-05,9.2875e-05,9.2875e-05
88,9638.9,0.70007,0.51087,0.0104,0.9112,0.87075,0.91538,0.7697,0.70381,0.55711,0.01492,8.66875e-05,8.66875e-05,8.66875e-05
89,9752.15,0.69033,0.50743,0.01017,0.90763,0.87284,0.91445,0.76822,0.70729,0.56814,0.01502,8.05e-05,8.05e-05,8.05e-05
90,9866,0.69114,0.4877,0.01033,0.9001,0.88343,0.91701,0.76994,0.70254,0.55871,0.01478,7.43125e-05,7.43125e-05,7.43125e-05
91,9977.66,0.59517,0.36241,0.01123,0.91386,0.86504,0.9124,0.76322,0.71178,0.57001,0.01512,6.8125e-05,6.8125e-05,6.8125e-05
92,10086.7,0.57681,0.32836,0.01051,0.91436,0.86749,0.9142,0.76537,0.71007,0.56024,0.01509,6.19375e-05,6.19375e-05,6.19375e-05
93,10195.4,0.5695,0.32924,0.01049,0.92915,0.85207,0.91255,0.76363,0.71193,0.56522,0.01521,5.575e-05,5.575e-05,5.575e-05
94,10305.6,0.5637,0.31813,0.01015,0.90803,0.87507,0.91537,0.76879,0.69869,0.54611,0.01477,4.95625e-05,4.95625e-05,4.95625e-05
95,10412.9,0.55738,0.31139,0.00995,0.91321,0.86987,0.91324,0.766,0.70121,0.55892,0.0148,4.3375e-05,4.3375e-05,4.3375e-05
96,10521.7,0.55299,0.31261,0.00989,0.92701,0.86058,0.91459,0.76738,0.70059,0.55942,0.01482,3.71875e-05,3.71875e-05,3.71875e-05
97,10630.2,0.55357,0.31421,0.00997,0.92001,0.86628,0.91373,0.76906,0.69788,0.55996,0.01473,3.1e-05,3.1e-05,3.1e-05
98,10739.7,0.54302,0.30902,0.00984,0.89482,0.8795,0.91471,0.77054,0.6989,0.55517,0.01476,2.48125e-05,2.48125e-05,2.48125e-05
99,10850.2,0.54461,0.28509,0.00974,0.90356,0.87788,0.91469,0.7712,0.6966,0.55563,0.01471,1.8625e-05,1.8625e-05,1.8625e-05
100,10961.3,0.54559,0.29124,0.00972,0.91851,0.86776,0.91668,0.77149,0.6973,0.55588,0.01474,1.24375e-05,1.24375e-05,1.24375e-05
